body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,effective_thread_count,effective_worker_count,physics_elapsed_ms
10005,10005,0,0,0,ok,ok,1,0,8332.677900000
10005,10005,0,0,0,ok,ok,1,0,8283.171300000
10005,10005,0,0,0,ok,ok,1,0,8154.770000000
10005,10005,0,0,0,ok,ok,1,0,8356.798200000
10005,10005,0,0,0,ok,ok,1,0,8179.984400000
10005,10005,0,0,0,ok,ok,1,0,8224.845800000
10005,10005,0,0,0,ok,ok,1,0,8274.583400000
10005,10005,0,0,0,ok,ok,1,0,8413.469400000
10005,10005,0,0,0,ok,ok,1,0,8296.990500000
10005,10005,0,0,0,ok,ok,1,0,8247.443100000
